epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
73,9032.47,0.85791,1.02361,0.93216,0.97432,0,0.82377,0.75078,0.81791,0.65488,0.82781,0.75107,0.82399,0.59284,0.8117,0.94029,0.78911,0.91884,0,6.53689e-05,6.53689e-05,6.53689e-05
74,9154.74,0.85341,1.01608,0.91635,0.96638,0,0.80879,0.75856,0.81632,0.65675,0.80965,0.7588,0.82384,0.59238,0.79937,0.9317,0.78097,0.91263,0,6.12895e-05,6.12895e-05,6.12895e-05
75,9277.54,0.84066,1.01254,0.8894,0.96383,0,0.80191,0.74953,0.81398,0.65688,0.80341,0.75098,0.82236,0.5935,0.80614,0.93649,0.77813,0.91592,0,5.73215e-05,5.73215e-05,5.73215e-05
76,9400.6,0.84096,0.99677,0.8911,0.96479,0,0.80213,0.77118,0.82439,0.66073,0.81368,0.76027,0.82147,0.59634,0.80326,0.92963,0.77088,0.91356,0,5.34688e-05,5.34688e-05,5.34688e-05
77,9524.51,0.84311,1.00182,0.87063,0.96747,0,0.81774,0.75561,0.82323,0.66267,0.81726,0.75708,0.82078,0.59863,0.80022,0.93598,0.77879,0.91359,0,4.97354e-05,4.97354e-05,4.97354e-05
78,9647.35,0.83431,0.99851,0.8742,0.9558,0,0.79807,0.7617,0.8239,0.66256,0.80319,0.76173,0.83151,0.59964,0.801,0.93159,0.78089,0.91481,0,4.61248e-05,4.61248e-05,4.61248e-05
79,9770.43,0.83275,1.0003,0.86341,0.96248,0,0.80049,0.76401,0.82452,0.66342,0.80143,0.76481,0.82232,0.59994,0.80028,0.92836,0.76456,0.91331,0,4.26406e-05,4.26406e-05,4.26406e-05
80,9894.06,0.84433,0.99829,0.8726,0.9638,0,0.77451,0.78722,0.82048,0.65849,0.77426,0.78677,0.81779,0.59855,0.80104,0.92862,0.75946,0.91241,0,3.92863e-05,3.92863e-05,3.92863e-05
81,10017.4,0.84869,1.02255,0.87794,0.96592,0,0.79763,0.76867,0.81833,0.65568,0.79859,0.76898,0.82099,0.59461,0.80037,0.92789,0.75826,0.91225,0,3.60651e-05,3.60651e-05,3.60651e-05
82,10140.5,0.82928,0.98567,0.84899,0.95986,0,0.80737,0.76152,0.81929,0.66165,0.80731,0.76056,0.82282,0.59716,0.80053,0.92995,0.76509,0.91243,0,3.29803e-05,3.29803e-05,3.29803e-05
83,10263.2,0.83456,1.00812,0.87042,0.95238,0,0.80437,0.76485,0.81884,0.66191,0.80331,0.76313,0.82148,0.599,0.79738,0.92781,0.75693,0.91204,0,3.00349e-05,3.00349e-05,3.00349e-05
