epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
58,5762.89,0.74668,0.91055,0.55553,0.89996,0,0.86018,0.88094,0.90999,0.75596,0.85762,0.86541,0.89817,0.65134,0.71774,1.31821,0.50969,0.8507,0,6.84992e-05,6.84992e-05,6.84992e-05
59,5862.15,0.74325,0.91957,0.54669,0.89721,0,0.89367,0.86383,0.91635,0.75924,0.89785,0.85153,0.90294,0.6513,0.71478,1.29032,0.49429,0.85249,0,6.33155e-05,6.33155e-05,6.33155e-05
60,5961.55,0.73403,0.90306,0.5318,0.89445,0,0.89007,0.87297,0.91479,0.75851,0.88252,0.86406,0.90448,0.65114,0.72171,1.24479,0.50255,0.8524,0,5.83028e-05,5.83028e-05,5.83028e-05
61,6060.72,0.73219,0.90105,0.53103,0.89472,0,0.89317,0.86359,0.91145,0.75718,0.88655,0.8582,0.90375,0.65615,0.71576,1.21624,0.49393,0.85117,0,5.34688e-05,5.34688e-05,5.34688e-05
62,6160.16,0.72753,0.91116,0.54384,0.89577,0,0.88046,0.87521,0.91078,0.76115,0.87665,0.86944,0.90103,0.65805,0.70705,1.20907,0.49056,0.84781,0,4.88211e-05,4.88211e-05,4.88211e-05
63,6259.38,0.72991,0.89263,0.53261,0.89437,0,0.90682,0.85563,0.91841,0.76682,0.9053,0.85204,0.90961,0.66016,0.71091,1.17552,0.48411,0.84918,0,4.43667e-05,4.43667e-05,4.43667e-05
64,6358.81,0.71988,0.88612,0.51751,0.88805,0,0.88872,0.8853,0.91616,0.75707,0.88644,0.87773,0.90489,0.65933,0.70989,1.20203,0.4828,0.84764,0,4.01125e-05,4.01125e-05,4.01125e-05
65,6458.03,0.72444,0.88489,0.52563,0.89616,0,0.8779,0.88233,0.91207,0.76262,0.87549,0.8724,0.90209,0.65695,0.70605,1.19207,0.48739,0.84798,0,3.60651e-05,3.60651e-05,3.60651e-05
66,6557.21,0.72481,0.89601,0.51697,0.89022,0,0.90433,0.86658,0.92412,0.77336,0.89935,0.86108,0.91573,0.66917,0.70698,1.16851,0.48221,0.8481,0,3.22308e-05,3.22308e-05,3.22308e-05
67,6656.47,0.71615,0.87138,0.51114,0.89096,0,0.90628,0.86972,0.92463,0.77097,0.91004,0.85598,0.91403,0.66392,0.71154,1.21178,0.47998,0.85007,0,2.86154e-05,2.86154e-05,2.86154e-05
68,6755.76,0.72016,0.88106,0.51557,0.88995,0,0.89846,0.87058,0.92158,0.766,0.90368,0.85747,0.90873,0.66201,0.70846,1.20008,0.47981,0.84867,0,2.52245e-05,2.52245e-05,2.52245e-05
